x2,y2
-5,26
-4.9,25.21
-4.8,24.44
-4.7,23.69
-4.6,22.96
-4.5,22.25
-4.4,21.56
-4.3,20.89
-4.2,20.24
-4.1,19.61
-4,19
-3.9,18.41
-3.8,17.84
-3.7,17.29
-3.6,16.76
-3.5,16.25
-3.4,15.76
-3.3,15.29
-3.2,14.84
-3.1,14.41
-3,14
-2.9,13.61
-2.8,13.24
-2.7,12.89
-2.6,12.56
-2.5,12.25
-2.4,11.96
-2.3,11.69
-2.2,11.44
-2.1,11.21
-2,11
-1.9,10.81
-1.8,10.64
-1.7,10.49
-1.6,10.36
-1.5,10.25
-1.4,10.16
-1.3,10.09
-1.2,10.04
-1.1,10.01
-1,10
-0.9,10.01
-0.8,10.04
-0.7,10.09
-0.6,10.16
-0.5,10.25
-0.4,10.36
-0.3,10.49
-0.2,10.64
-0.1,10.81
-2.04E-14,11
0.1,11.21
0.2,11.44
0.3,11.69
0.4,11.96
0.5,12.25
0.6,12.56
0.7,12.89
0.8,13.24
0.9,13.61
1,14
1.1,14.41
1.2,14.84
1.3,15.29
1.4,15.76
1.5,16.25
1.6,16.76
1.7,17.29
1.8,17.84
1.9,18.41
2,19
2.1,19.61
2.2,20.24
2.3,20.89
2.4,21.56
2.5,22.25
2.6,22.96
2.7,23.69
2.8,24.44
2.9,25.21
3,26
3.1,26.81
3.2,27.64
3.3,28.49
3.4,29.36
3.5,30.25
3.6,31.16
3.7,32.09
3.8,33.04
3.9,34.01
4,35
4.1,36.01
4.2,37.04
4.3,38.09
4.4,39.16
4.5,40.25
4.6,41.36
4.7,42.49
4.8,43.64
4.9,44.81
5,46
